Isabella;B@abc.com;6;Swift;
Richard;E@abc.com;80;Haskell;
Isabella;D@abc.com;92;Scala;
Grisha;A@abc.com;33;Prolog;
Mia;D@abc.com;20;R;
Olivia;F@abc.com;38;Swift;
Alex;A@abc.com;78;Rust;
Emma;C@abc.com;21;PHP;
Alex;B@abc.com;90;R;
Paul;D@abc.com;30;Delphi;
Joshua;F@abc.com;71;Ruby;
Grisha;D@abc.com;78;Fortran;
Emma;C@abc.com;62;Go;
Grisha;C@abc.com;71;PHP;
Matthew;E@abc.com;94;Java;
Joshua;E@abc.com;10;Go;
Matthew;B@abc.com;38;Swift;
Matthew;D@abc.com;47;Scala;
Alex;C@abc.com;23;Lua;
Joshua;C@abc.com;93;Perl;
Mia;F@abc.com;18;Ruby;
Isabella;E@abc.com;27;Swift;
Alex;C@abc.com;36;C#;
Joshua;F@abc.com;48;JavaScript;
Olivia;B@abc.com;67;Rust;
Olivia;B@abc.com;38;Haskell;
Richard;B@abc.com;67;C/C++;
Matthew;C@abc.com;27;Rust;
Grisha;B@abc.com;69;JavaScript;
Richard;F@abc.com;2;Ruby;
Paul;A@abc.com;65;Lisp;
Isabella;F@abc.com;94;Rust;
Isabella;E@abc.com;84;Python;
Matthew;F@abc.com;92;Java;
Isabella;C@abc.com;53;Haskell;
Isabella;C@abc.com;40;Perl;
Alex;D@abc.com;23;JavaScript;
Emma;F@abc.com;68;Python;
Isabella;A@abc.com;72;Erlang;
Matthew;A@abc.com;66;R;
Isabella;F@abc.com;19;Delphi;
Richard;E@abc.com;17;Ruby;
Richard;C@abc.com;50;C#;
Grisha;A@abc.com;55;Swift;
Richard;D@abc.com;87;Rust;
Paul;D@abc.com;16;Go;
Richard;F@abc.com;34;Erlang;
Grisha;A@abc.com;24;JavaScript;
Paul;C@abc.com;65;C#;
Isabella;F@abc.com;64;Delphi;
Mia;C@abc.com;17;Erlang;
Isabella;D@abc.com;5;Java;
Emma;A@abc.com;95;Swift;
Mia;B@abc.com;38;C#;
Paul;B@abc.com;19;Lua;
Isabella;C@abc.com;54;Delphi;
Olivia;A@abc.com;85;C/C++;
Olivia;E@abc.com;50;Erlang;
Isabella;F@abc.com;55;Swift;
Richard;C@abc.com;98;Rust;
Grisha;F@abc.com;80;Haskell;
Joshua;A@abc.com;43;PHP;
Olivia;E@abc.com;22;Scala;
Richard;E@abc.com;10;Java;
Grisha;D@abc.com;32;Lisp;
Mia;E@abc.com;91;Delphi;
Isabella;F@abc.com;64;Erlang;
Alex;F@abc.com;5;PHP;
Isabella;A@abc.com;92;Erlang;
Isabella;D@abc.com;23;R;
Emma;C@abc.com;56;Swift;
Olivia;B@abc.com;84;Lisp;
Isabella;D@abc.com;26;Perl;
Richard;C@abc.com;62;Prolog;
Isabella;B@abc.com;67;Erlang;
Isabella;B@abc.com;43;Rust;
Matthew;E@abc.com;51;Ruby;
Alex;E@abc.com;38;C#;
Matthew;F@abc.com;97;Swift;
Emma;C@abc.com;21;JavaScript;
Matthew;C@abc.com;98;Delphi;
Isabella;B@abc.com;56;Rust;
Emma;A@abc.com;89;Lua;
Joshua;B@abc.com;31;Lua;
Isabella;A@abc.com;17;JavaScript;
Mia;A@abc.com;3;Delphi;
Grisha;A@abc.com;8;PHP;
Paul;F@abc.com;9;Rust;
Isabella;C@abc.com;53;Fortran;
Matthew;A@abc.com;56;Ruby;
Isabella;A@abc.com;58;Python;
Alex;E@abc.com;10;Python;
Joshua;D@abc.com;85;Java;
Alex;C@abc.com;59;PHP;
Olivia;D@abc.com;58;Ruby;
Isabella;F@abc.com;23;Rust;
Alex;C@abc.com;26;Ruby;
Matthew;B@abc.com;31;Haskell;
Emma;D@abc.com;9;C/C++;
Isabella;C@abc.com;20;Prolog;
Grisha;E@abc.com;32;Prolog;
Olivia;D@abc.com;29;Fortran;
Olivia;C@abc.com;18;Fortran;
Paul;B@abc.com;88;Delphi;
Richard;C@abc.com;22;Delphi;
Isabella;F@abc.com;85;Perl;
Olivia;F@abc.com;62;Swift;
Grisha;A@abc.com;40;Erlang;
Paul;B@abc.com;73;R;
Olivia;D@abc.com;10;R;
Richard;C@abc.com;13;Python;
Matthew;F@abc.com;56;C/C++;
Paul;C@abc.com;5;R;
Joshua;B@abc.com;17;Delphi;
Paul;B@abc.com;51;Rust;
Alex;F@abc.com;47;Go;
Paul;D@abc.com;49;C#;
Matthew;B@abc.com;14;Go;
Grisha;F@abc.com;87;R;
Olivia;A@abc.com;78;Perl;
Joshua;D@abc.com;58;JavaScript;
Alex;B@abc.com;52;Ruby;
Joshua;A@abc.com;22;Ruby;
Matthew;D@abc.com;77;C#;
Matthew;F@abc.com;0;Python;
Grisha;C@abc.com;20;C/C++;
Mia;B@abc.com;23;Rust;
Olivia;B@abc.com;67;PHP;
Alex;C@abc.com;94;Lua;
Mia;C@abc.com;21;C/C++;
Matthew;A@abc.com;87;C/C++;
Emma;E@abc.com;53;Erlang;
Paul;F@abc.com;21;Rust;
Olivia;C@abc.com;5;Erlang;
Mia;E@abc.com;98;Rust;
Joshua;B@abc.com;3;Fortran;
Olivia;C@abc.com;41;Fortran;
Grisha;B@abc.com;26;Fortran;
Mia;C@abc.com;56;Delphi;
Paul;D@abc.com;40;R;
Richard;A@abc.com;25;C/C++;
Mia;D@abc.com;16;Erlang;
Isabella;A@abc.com;24;Perl;
Joshua;F@abc.com;1;Ruby;
Emma;C@abc.com;38;R;
Olivia;B@abc.com;88;JavaScript;
Isabella;F@abc.com;59;Lua;
Alex;C@abc.com;81;PHP;
Emma;B@abc.com;12;Ruby;
Grisha;B@abc.com;26;C#;
Paul;C@abc.com;64;JavaScript;
Isabella;F@abc.com;2;Prolog;
Matthew;E@abc.com;86;R;
Olivia;D@abc.com;86;C#;
Alex;A@abc.com;52;JavaScript;
Paul;B@abc.com;74;Scala;
Emma;B@abc.com;13;C/C++;
Paul;B@abc.com;75;Swift;
Paul;E@abc.com;63;Rust;
Isabella;A@abc.com;69;Lua;
Paul;B@abc.com;68;Lisp;
Isabella;F@abc.com;86;Rust;
Richard;F@abc.com;68;Rust;
Olivia;D@abc.com;52;Rust;
Olivia;D@abc.com;33;Prolog;
Joshua;E@abc.com;6;Haskell;
Isabella;A@abc.com;40;Rust;
Isabella;F@abc.com;3;PHP;
Grisha;E@abc.com;30;Prolog;
Joshua;A@abc.com;49;Lisp;
Joshua;D@abc.com;47;Haskell;
Paul;C@abc.com;18;Lisp;
Matthew;B@abc.com;71;Perl;
Olivia;E@abc.com;40;Go;
Paul;B@abc.com;32;Ruby;
Matthew;D@abc.com;0;Rust;
Joshua;A@abc.com;73;Python;
Alex;F@abc.com;38;Erlang;
Matthew;F@abc.com;8;Prolog;
Alex;C@abc.com;58;C#;
Grisha;C@abc.com;32;Swift;
Emma;A@abc.com;65;Swift;
Mia;F@abc.com;23;Lua;
Paul;C@abc.com;7;Lisp;
Mia;A@abc.com;60;Scala;
Isabella;C@abc.com;2;Scala;
Richard;A@abc.com;8;Prolog;
Matthew;B@abc.com;44;Rust;
Richard;F@abc.com;28;Perl;
Joshua;B@abc.com;56;JavaScript;
Olivia;C@abc.com;52;R;
Paul;D@abc.com;53;JavaScript;
Richard;A@abc.com;33;Rust;
Matthew;E@abc.com;4;Erlang;
Mia;C@abc.com;43;JavaScript;
Isabella;B@abc.com;33;R;
Olivia;F@abc.com;66;PHP;
Richard;A@abc.com;38;Delphi;
Matthew;E@abc.com;76;Perl;
Grisha;F@abc.com;73;Prolog;
Richard;F@abc.com;48;Delphi;
Richard;E@abc.com;38;Swift;
Olivia;A@abc.com;68;R;
Richard;B@abc.com;41;Python;
Paul;E@abc.com;71;Delphi;
Mia;B@abc.com;15;JavaScript;
Emma;B@abc.com;55;Haskell;
Isabella;E@abc.com;69;Rust;
Alex;E@abc.com;10;Swift;
Mia;D@abc.com;21;Haskell;
Richard;D@abc.com;40;PHP;
Grisha;F@abc.com;52;Perl;
Alex;D@abc.com;47;Delphi;
Paul;D@abc.com;70;Go;
